user_id,Age,Gender,Location,cohort_year,First_tran_date,total_txn,total_amount,revenue,active_months,carrier_mode,AOV
56080290,18_to_22,MALE,Other Cities,2020,2020-05-21,1,10000.0,200.0,1,Viettel,10000.0
54850981,18_to_22,FEMALE,Other Cities,2020,2020-06-22,1,10000.0,200.0,1,Viettel,10000.0
55539497,18_to_22,FEMALE,Other Cities,2020,2020-04-25,1,10000.0,400.0,1,Vinaphone,10000.0
45766500,23_to_27,MALE,Other Cities,2019,2019-02-16,1,10000.0,400.0,1,Vinaphone,10000.0
27306129,28_to_32,MALE,Other Cities,2017,2017-11-17,1,10000.0,400.0,1,Vinaphone,10000.0
34780274,28_to_32,MALE,Other Cities,2018,2018-04-28,1,200000.0,8000.0,1,Vietnamobile,200000.0
35139062,28_to_32,FEMALE,Other Cities,2018,2018-05-26,1,20000.0,800.0,1,Vinaphone,20000.0
42276140,28_to_32,FEMALE,Other Cities,2018,2018-07-02,1,10000.0,300.0,1,Mobifone,10000.0
41148360,28_to_32,FEMALE,Other Cities,2018,2018-03-31,1,20000.0,400.0,1,Viettel,20000.0
55535617,28_to_32,MALE,Other Cities,2020,2020-06-25,1,20000.0,400.0,1,Viettel,20000.0
45075842,18_to_22,MALE,HCMC,2019,2019-10-18,1,50000.0,1000.0,1,Viettel,50000.0
49455172,18_to_22,MALE,HCMC,2019,2019-09-21,1,10000.0,400.0,1,Vinaphone,10000.0
42938510,23_to_27,MALE,HN,2018,2018-09-08,1,50000.0,1000.0,1,Viettel,50000.0
4056961,23_to_27,FEMALE,HCMC,2020,2020-04-12,1,30000.0,900.0,1,Mobifone,30000.0
55272146,23_to_27,FEMALE,HCMC,2020,2020-04-13,1,10000.0,200.0,1,Viettel,10000.0
43612573,28_to_32,MALE,HCMC,2018,2018-10-05,1,50000.0,1500.0,1,Mobifone,50000.0
44098470,unknown,FEMALE,Other Cities,2019,2019-08-17,1,50000.0,2000.0,1,Vietnamobile,50000.0
36291178,unknown,FEMALE,Other Cities,2016,2016-10-17,1,300000.0,12000.0,1,Vinaphone,300000.0
23349908,28_to_32,MALE,Other Cities,2019,2019-11-29,1,50000.0,1500.0,1,Mobifone,50000.0
37102843,28_to_32,MALE,Other Cities,2020,2020-06-17,1,20000.0,600.0,1,Mobifone,20000.0
42067458,23_to_27,FEMALE,HCMC,2020,2020-01-15,1,200000.0,6000.0,1,Mobifone,200000.0
46276798,28_to_32,MALE,HCMC,2019,2019-03-10,1,100000.0,2000.0,1,Viettel,100000.0
40833342,28_to_32,MALE,HCMC,2018,2018-01-19,1,10000.0,300.0,1,Mobifone,10000.0
52670153,>37,FEMALE,Other Cities,2020,2020-03-15,1,50000.0,2000.0,1,Vinaphone,50000.0
42240384,>37,FEMALE,Other Cities,2018,2018-06-21,1,50000.0,1000.0,1,Viettel,50000.0
40788532,>37,FEMALE,HCMC,2018,2018-02-01,1,100000.0,3000.0,1,Mobifone,100000.0
50280164,>37,FEMALE,HCMC,2019,2019-11-05,1,200000.0,8000.0,1,Vinaphone,200000.0
37015376,>37,FEMALE,HN,2018,2018-03-31,1,100000.0,2000.0,1,Viettel,100000.0
41539090,>37,MALE,HCMC,2018,2018-05-12,1,50000.0,1000.0,1,Viettel,50000.0
50035963,>37,FEMALE,HN,2019,2019-10-18,1,50000.0,2000.0,1,Vinaphone,50000.0
55262255,18_to_22,FEMALE,Other Cities,2020,2020-06-08,1,20000.0,800.0,1,Vietnamobile,20000.0
29787545,18_to_22,MALE,HCMC,2019,2019-10-16,1,20000.0,600.0,1,Mobifone,20000.0
